Designator,Mid X,Mid Y,Rotation,Layer
C1,114.8334,-89.0047,90.0,top
C11,62.776,-113.608,90.0,top
C12,77.934051,-125.147849,90.0,top
C13,74.354051,-121.297849,0.0,top
C14,59.0,-111.0,0.0,top
C15,66.75,-101.525,90.0,top
C16,68.491,-101.53,270.0,top
C2,111.887,-82.169,270.0,top
C3,115.7986,-89.0073,90.0,top
C4,106.0976,-79.7511,0.0,top
C5,115.824,-85.3243,90.0,top
C6,114.3,-86.3403,270.0,top
C7,114.505,-64.9175,0.0,top
C8,118.4656,-90.3863,90.0,top
C9,120.015,-91.0393,270.0,top
D1,85.5,-60.5,90.0,top
D2,83.0,-60.4352,90.0,top
D3,114.505,-69.5215,270.0,top
D4,111.887,-91.0647,0.0,top
D5,99.75,-116.597849,270.0,top
D6,72.196051,-123.171449,270.0,top
D7,81.75,-78.25,90.0,top
F1,74.187451,-118.726449,180.0,top
F2,100.5,-111.0,270.0,top
J1,88.4748,-80.0442,0.0,top
L1,102.3874,-64.3128,270.0,top
L2,108.86,-99.0,0.0,top
L3,61.75,-104.95,90.0,top
Q1,96.376851,-123.730249,90.0,top
Q2,101.402077,-123.703552,90.0,top
Q3,85.134051,-123.397849,90.0,top
Q4,91.398451,-123.702549,90.0,top
R1,84.143,-57.9437,0.0,top
R10,118.6581,-85.8323,0.0,top
R11,118.6688,-88.1691,180.0,top
R12,106.3244,-84.8925,90.0,top
R13,98.916851,-123.183649,270.0,top
R14,103.895251,-123.222249,270.0,top
R15,93.887651,-123.120649,270.0,top
R2,124.9625,-100.25,180.0,top
R3,126.9492,-94.2998,270.0,top
R4,109.601,-83.312,180.0,top
R5,122.9868,-94.3159,270.0,top
R6,126.9492,-86.5596,90.0,top
R7,122.9868,-86.5435,90.0,top
R8,100.027,-77.6175,270.0,top
R9,102.567,-78.3795,0.0,top
SW3,88.99,-142.65,0.0,top
U2,110.552,-87.4219,0.0,top
U3,102.8265,-75.7735,180.0,top
U5,59.6125,-113.75,270.0,top
